name,CONML,gvkey_n,sdc_cusip
Lincoln Electric Holdings Inc,Lincoln Electric Holdings Inc,6737,533900
ASAlliances Biofuels LLC,ASAlliances Biofuels Inc,176352,53530F
Lions Gate Entertainment Corp,Lions Gate Entertainment Corp,28378,535919
LINN Energy LLC,Linn Energy Inc,164109,536020
Littelfuse Inc,Littelfuse Inc,25747,537008
Litton Industries Inc,Litton Industries Inc,6765,538021
Live Nation Entertainment Inc,Live Nation Entertainment Inc,165746,538034
Live Oak Acquisition Corp,Live Oak Acquisition Corp,36275,53804F
Live Ventures Inc,Live Ventures Inc,66261,538142
LiveXLive Media Inc,LiveXLive Media Inc,187122,53839L
Lockheed Martin Corp,Lockheed Martin Corp,6774,539830
Loews Corp,Loews Corp,6781,540424
LogMeIn Inc,LogMeIn Inc,179666,54142L
Lottery & Wagering Solutions,Lottery & Wagering Solutions Inc,64866,545693
Louisiana-Pacific Corp,Louisiana-Pacific Corp,6821,546347
Lowe's Cos Inc,Lowe's Cos Inc,6829,548661
LVB Acquisition Inc,LVB Acquisition Inc,16565,54925N
Lucent Technologies Inc,Lucent Technologies Inc,62599,549463
Lumentum Holdings Inc,Lumentum Holdings Inc,23249,55024U
Luminant Worldwide Corp,Luminant Worldwide Corp,122918,550260
Lumos Networks Corp,Lumos Networks Corp,190959,550283
Luna Innovations Inc,Luna Innovations Inc,166583,550351
Lydall Inc,Lydall Inc.,6845,550819
Lyft Inc,Lyft Inc,34873,55087P
William Lyon Homes,William Lyon Homes,24544,552074
Lyondell Chemical Co,Lyondell Chemical Co,15110,552078
MBIA Inc,MBIA Inc.,13561,55262C
MCI Inc,MCI Inc,1164,552691
MDC Partners Inc,MDC Partners Inc,20570,552697
MFA Financial Inc,MFA Financial Inc,15101,55272X
MGI PHARMA Inc,MGI PHARMA Inc,7504,552880
MGM Resorts International,MGM Resorts International,14418,552953
MGM Holdings Inc,MGM Holdings Inc,187422,55303C
M I Acquisitions Inc,M I Acquisitions Inc,27724,55304A
MKS Instruments Inc,MKS Instruments Inc,119275,55306N
MPG Office Trust Inc,MPG Office Trust Inc,151403,553274
MRV Communications Inc,MRV Communications Inc,25978,553477
MSA Safety Inc,MSA Safety Inc,7420,553498
MSCI Inc,MSCI Inc,178507,55354G
MSGI Security Solutions Inc,MSGI Security Solutions Inc,2402,553570
LyondellBasell Industries NV,LyondellBasell Industries NV,294524,55375V
MTS Systems Corp,MTS Systems Corp,6900,553777
Mtbc Inc,MTBC Inc,20143,55378G
MVC Capital Inc,MVC Capital Inc,137230,553829
MYR Group Inc,MYR Group Inc,180646,554053
MacDermid Inc,MacDermid Inc,6908,554273
